ISBN,Book Title,Author(s),Class Title,Professor,APA Category
0199683670,Philosophy in the Islamic World: A Very Short Introduction,Peter Adamson,An Introduction to Arabic Philosophy,Greyson Abid,Arabic and Islamic Philosophy
0872208710,Classical Arabic Philosophy: An Anthology of Sources,"Jon McGinnis; David
Reisman",An Introduction to Arabic Philosophy,Greyson Abid,Arabic and Islamic Philosophy
