978-0520230026," Barrio Dreams: Puerto Ricans, Latinos, and the Neoliberal City", Arlene Dávila
978-0807032923, The Power of Their Ideas: Lessons for America from a Small School in Harlem (2nd ed.), Deborah W. Meier
978-0700609732, Controlling Public Education: Localism versus Equity, Kathryn A. McDermott
978-1948742622, The Chicago Neighborhood Guidebook, Martha Bayne (Ed.)
978-1469646608, A Political Education: Black Politics and Education Reform in Chicago since the 1960s, Elizabeth Todd-Breland
978-0816524719, Reclaiming Diné History: The Legacies of Navajo Chief Manuelito and Juanita (3rd ed.), Jennifer Nez Denetdale
