978-1928896647, Developmentally Appropriate Practice in Early Childhood Programs Serving Children from Birth through Age 8 (3rd Edition), Sue Bredekamp (Ed.)
978-0205308329, Listening to Children: Talking to Children about Difficult Issues, Nancy Close
978-1476792035, The Emotional Life of the Toddler, Alicia F. Lieberman
