ISBN,Book Title,Author(s),Class Title,Professor,APA Category
9780800636098,Jesus and Nonviolence: a Third Way,Walter Wink,Philosophy of Nonviolence,Duane Cady,American Philosophy
9780739155448,Gandhi’s Experiments with Truth,Richard L. Johnson,Philosophy of Nonviolence,Duane Cady,American Philosophy
9780060646912,A Testament of Hope,"Martin Luther King, Jr.",Philosophy of Nonviolence,Duane Cady,American Philosophy
9780241631645,On Violence,Hannah Arendt,Philosophy of Nonviolence,Duane Cady,American Philosophy
9781439903124,From Warism to Pacifism: A Moral Continuum,Duane Cady,Philosophy of Nonviolence,Duane Cady,American Philosophy
9781888375404,Being Peace,Thich Nhat Hanh,Philosophy of Nonviolence,Duane Cady,American Philosophy
9780679779124,Violence: Discussions on an American Epidemic,James Gilligan,Philosophy of Nonviolence,Duane Cady,American Philosophy
