isbn,book_title,author,class_title,professor
9780375757990,Basic work of aristotle,MCKEON RICHARD,Aristotle in New Orleans,Dr. Ryan McBride
9780872203495,Plato: Complete Works,Plato,Aristotle in New Orleans,Dr. Ryan McBride
9798337753195,Institutio Oratoria,"Quintilian, Marcus Fabius",Aristotle in New Orleans,Dr. Ryan McBride
9780895940995,Politics of Reality: Essays in Feminist Theory (Crossing Press Feminist (Paperback)),"Frye, Marilyn",Feminist Theory,Dr. Alison Reiheld
9780199570522,Epistemic Injustice: Power and the Ethics of Knowing,"Fricker, Miranda",Feminist Theory,Dr. Alison Reiheld
9780073512358,Feminist Theory: A Reader,"Kolmar, Wendy - Bartkowski, Frances",Feminist Theory,Dr. Alison Reiheld
9780813344324,Morality and Global Justice: Justifications and Applications,"Boylan, Michael",Global Ethics and Justice,Katharine Schweitzer
9780813344331,The Morality and Global Justice Reader: Reader,"Boylan, Michael",Global Ethics and Justice,Katharine Schweitzer
