isbn,book_title,author,class_title,professor
9780415818353,Athletics and Philosophy in the Ancient World (Ethics and Sport),"Reid, Heather",Ethics and Athletics in Ancient Greece and Rome,Dr. Heather Reid
9781951648541,"Monday Morning Ethics: The Lessons Sports Ethics Scandal Can Teach Athletes, Coaches, Sports Executives and Fans","Gallagher, Chuck - Wolk, Bruce H",PHILOSOPHY OF SPORT,David W. Cheely
9781538156209,Introduction to the Philosophy of Sport (Elements of Philosophy),"Reid, Heather","Sports, Philosophy, and Society",Jesús Ilundáin-Agurruza
