isbn,book_title,author,class_title,professor
9780199249473,Feminism: Issues & Arguments,Jennifer Mather Saul,Analytic Feminism,Pieranna Garavaso
9780394713519,"Women, Race & Class",Angela Y. Davis,Black Feminist Thought,Mecke Nagel
9781138821552,Black Looks: Race and Representation,Bell Hooks,Black Feminist Thought,Mecke Nagel
9780631210078,The Black Feminist Reader,Joy James; T. Denean Sharply-Whiting,Black Feminist Thought,Mecke Nagel
9780300188189,"Sister Citizen: Shame, Stereotypes, and Black Women in America",Melissa V. Harris-Perry,Black Feminist Thought,Mecke Nagel
9780415924849,"Black Feminist Thought: Knowledge, Consciousness, and the Politics of Empowerment",Patricia Hill Collins,Feminist Philosophy,Hilde Lindemann
