isbn,book_title,author,class_title,professor
9780872206359,Analects,Confucius,Ancient Chinese Philosophy ,Zach Joachim
9780198848103,"The Essential Mòzǐ: Ethical, Political, and Dialectical Writings ",Mo Zi,Ancient Chinese Philosophy ,Zach Joachim
9780872209114,Zhuangzi: The Essential Writings: With Selections from Traditional Commentaries,Zhuangzi,Ancient Chinese Philosophy ,Zach Joachim
9781556592904,Lao-tzu's Taoteching,Lao Tzu,Ancient Chinese Philosophy ,Zach Joachim
9780872208261,The Four Books: The Basic Teachings of the Later Confucian Tradition,Daniel K. Gardner,Ancient Chinese Philosophy ,Zach Joachim
9780805210477,Anti-Semite and Jew: An Exploration of the Etiology of Hate,Jean-Paul Sartre,Asian American Philosophy ,David Kim
9780791475867,The Browning of America and the Evasion of Social Justice ,Ronald R. Sundstrom,Asian American Philosophy ,David Kim
9781405129503,An Introduction to Chinese Philosophy: From Ancient Philosophy to Chinese Buddhism,JeeLoo Liu,Asian Philosophy ,JeeLoo Liu
9780691019642,A Source Book in Chinese Philosophy,Wing-tsit Chan,Asian Philosophy ,JeeLoo Liu
