isbn,book_title,author,class_title,professor
9781138828681,Advanced Arabic Literary Reader,Youness Elbousty and Muhammad Aziz,Advanced Modern Standard Arabic II,Muhammad Aziz
9781607963684,A dictionary of modern written Arabic,Hans Wehr,Advanced Modern Standard Arabic II,Muhammad Aziz
9780878402717,Al-Kitaab Fii Ta Allum Al-Arabiyya,Kristen Brustad,Elementary Modern Standard Arabic II,Jonas Elbousty
9780915597086,Qur'an,Thomas Ballantine Irving,The Quran and its Interpreters,Shawkat Toorawa
9780197200001,An Anthology of Qur'anic Commentaries: Volume 1,Farhana Mayer,The Quran and its Interpreters,Shawkat Toorawa
9780816508686,Approaches to Islam in religious studies,Richard C. Martin,Approaches to Studying Islam,Richard C. Martin
9780195201874,Studies on Islam,Merlin L. Swartz,Foundations of Islamic Studies,Merlin L. Swartz
