isbn,book_title,author,class_title,professor
9780198822417,The Minority Body: A Theory of Disability (Studies in Feminist Philosophy),"Barnes, Elizabeth",Philosophy and Disability,Sara Goering
9798748535724,Understanding the Human Mind: The Danger of Negative Thinking,"Browne, Jason",Philosophy and Disability,Sara Goering
9780814783610,"The Ugly Laws: Disability in Public (The History of Disability, 3)","Schweik, Susan M.",Philosophy of Disability,Timothy W. Allen
9780198822417,The Minority Body: A Theory of Disability (Studies in Feminist Philosophy),"Barnes, Elizabeth",Philosophy of Disability,Timothy W. Allen
9780415910477,The Rejected Body (Interaction; 11),"Wendell, Susan",Philosophy of Disability,Dr. Jane Dryden
9780253212818,The Faces of Intellectual Disability: Philosophical Reflections,"Carlson, Licia",Philosophy of Disability,Dr. Jane Dryden
