isbn,book_title,author,class_title,professor
9781784870515,Rubyfruit jungle,Rita Mae Brown,LGBTQ Spaces and Places,Scott Herring
9780896087880,Exile and pride,Eli Clare,LGBTQ Spaces and Places,Scott Herring
9781473564473,On Earth We're Briefly Gorgeous,Ocean Vuong,LGBTQ Spaces and Places,Scott Herring
9783868288544,To Survive on This Shore,"Jess T. Dugan, Vanessa Fabbre, and Karen Irvine",LGBTQ Life Spans,Scott Herring
9780393285680,"Wayward Lives, Beautiful Experiments",Saidiya V. Hartman,LGBTQ Life Spans,Scott Herring
9781944860370,Eye to Eye: Portraits of Lesbians,Joan E. Biren,LGBTQ Life Spans,Scott Herring
9780374281342,Secret Historian,Justin Spring and Sean Runnette,LGBTQ Life Spans,Scott Herring
