isbn,book_title,author,class_title,professor
9780691122946,On Bullshit,"Frankfurt, Harry G.",PHILOLOSPHY OF LANGUAGE,DR. RACHEL MCKINNON
9781838861643,"Roman Myths: Gods, Heroes, Villains and Legends of Ancient Rome","Dougherty, Martin J.",PHILOLOSPHY OF LANGUAGE,DR. RACHEL MCKINNON
9780199236275,Speech and Harm: Controversies Over Free Speech,,"PHILOSOPHY OF CULTURE, LANGUAGE AND SOCIETY",Ishani Maitra
9780470672297,Naming and Necessity: 50th Anniversary Edition,"Kripke, Saul A.",Philosophy of Language,David Miguel Gray
