isbn,book_title,author,class_title,professor
9780806123745,Horace,Daniel H. Garrison,Latin Lyric,Christina Kraus
9780924047336,Poncia vicencio, Conceição Evaristo,Brazilian Culture Through Black Lives,Giseli Tordin
9788494597855,La guerra contra las mujeres,Rita Laura Segato,Brazilian Culture Through Black Lives,Giseli Tordin
9786556910222,Dona Ivone Lara,Mila Burns,Brazilian Culture Through Black Lives,Giseli Tordin
9781438454399,This bridge called my back,Cherríe Moraga and Gloria E. Anzaldúa,What was Latinx Literature ,Joseph Miranda
9780872869097,My Body Is Paper,"Gil Cuadros, Pablo Alvarez, and Kevin Martin",What was Latinx Literature ,Joseph Miranda
9781911648475,Consequences,Manuel Muñoz,What was Latinx Literature ,Joseph Miranda
9781847083975,Blackouts, Justin Torres,What was Latinx Literature ,Joseph Miranda
